NodeCount,SimCnt,CompileTime,KeyGenerationTime,EncryptionTime,ExecutionTime,DecryptionTime,ReferenceExecutionTime,Mse
36,0,0.36103,53.854398,28.27745,5.238625,15.208315,3.342669999,1.15E-09
36,1,0.287921,33.017222,27.603201,4.238904,15.119636,3.238091,1.46E-09
36,2,0.315223,30.934891,27.598692,4.465957,15.165644,3.163248,6.14E-10
36,3,0.296687,32.272739,27.940997,4.244595,15.199749,3.192854,3.78E-09
36,4,0.331650001,31.873586,28.006326,4.314799,15.073558,3.081742,1.29E-09
36,5,0.262071,31.524167,27.907403,4.277057,15.215007,3.273899,6.78E-10
36,6,0.314862,31.749118,27.869661,5.010063,15.408187,3.203925,1.08E-09
36,7,0.317547,32.200079,27.5086,4.335258001,15.010496,3.163117,1.40E-09
36,8,0.476331,31.558994,27.87948,4.316984,15.088376,3.16481,8.01E-10
36,9,0.297758999,30.999253,27.802853,4.323956,15.084148,3.144522,6.77E-10
36,10,0.255218,30.936724,27.730705,4.276956,15.07477,3.121377,1.31E-09
36,11,0.306767,30.983053,27.730915,4.255576,15.03797,3.096259,1.15E-09
36,12,0.258384001,31.14885,27.597721,4.236158999,15.028071,3.084377,9.44E-10
36,13,0.283873001,31.156605,27.600847,4.340719001,14.955081,3.110687,4.67E-09
36,14,0.259817,31.563793,27.639922,4.261286001,14.994816,3.072614,2.64E-09
36,15,0.295285,31.669996,27.632177,4.33589,15.073648,3.209164999,2.41E-09
36,16,0.271137999,31.022238,27.532195,4.301654,15.005277,3.130996,1.97E-09
36,17,0.353145,31.386714,27.476409,4.263420999,14.939511,3.086751,6.81E-10
36,18,0.306246,31.086831,27.768638,4.301915,14.986961,3.156665,7.49E-09
36,19,0.264777,32.242641,27.979812,4.306223,15.076873,3.112751,8.24E-10
36,20,0.26685,31.552903,27.697121,4.301283,15.626304,3.131836999,1.73E-09
36,21,0.295595,31.37379,27.559474,4.272488,14.936085,3.124233,1.06E-09
36,22,0.293321,31.723408,27.564668,4.414089,15.088486,3.083785,1.04E-09
36,23,0.356862,31.419512,27.594515,4.23684,15.066153,3.094776,1.44E-09
36,24,0.292369,31.50449,27.506657,4.282306,14.779655,3.028098999,1.05E-09
36,25,0.255939,31.591777,27.911922,4.272247,15.249143,3.158478,1.31E-09
36,26,0.260438,32.042799,27.501757,4.282627,15.047096,3.103884,1.93E-09
36,27,0.264555,31.922439,27.950876,4.220579001,15.507854,3.135163,2.11E-09
36,28,0.266059,31.540739,27.897428,4.293208,14.961403,3.11207,1.23E-09
36,29,0.262982,31.415088,27.924365,4.408809001,15.584564,3.315108001,6.36E-09
36,30,0.283171,31.302323,27.63874,4.202895,15.044812,3.127238,1.12E-09
36,31,0.267040999,31.326219,27.583143,4.401585,14.92831,3.079598,2.16E-09
36,32,0.262411,31.397024,27.526535,4.237041,15.079469,3.078405,5.82E-10
36,33,0.290695,31.261686,27.921089,4.4983,15.097944,3.220678,1.17E-09
36,34,0.314572,31.073436,27.869321,4.286395,15.099938,3.143289,2.38E-09
36,35,0.295635,31.230592,27.825961,4.249584999,15.033841,3.123742001,7.16E-10
36,36,0.294683,31.505592,27.70398,4.314529,15.096817,3.086831,6.83E-10
36,37,0.245309,31.468531,28.091384,4.31546,15.082795,3.158437999,9.12E-10
36,38,0.294083,31.605799,27.800193,4.227341,15.079769,3.15451,6.48E-10
36,39,0.412503,31.129868,28.20128,4.280644,14.958798,3.111078,5.76E-09
36,40,0.34504,31.706035,27.697071,4.339286,15.108915,3.176663,6.18E-10
36,41,0.282159,31.737876,27.959493,4.240727,14.994967,3.069308001,2.97E-09
36,42,0.285957,31.894411,27.627027,4.32056,15.108674,3.153018,7.36E-10
36,43,0.352224,31.981753,27.615565,4.314178001,15.081232,3.103954,1.20E-09
36,44,0.263174,31.728338,27.799787,4.411043,15.024143,3.243636001,9.19E-10
36,45,0.263815,31.370263,27.711158,4.339075,15.0228,3.108503,1.15E-09
36,46,0.258674,31.128782,27.941228,4.245066,15.095069,3.132528001,9.59E-10
36,47,0.263944999,31.478861,27.605797,4.25258,15.061555,3.124193,6.87E-10
36,48,0.265318,31.568071,27.491057,4.305251,14.992643,3.15979,7.55E-10
